skip_event_id,logged_at,run_id,run_started_at,stage,skip_reason_code,skip_reason_detail,match_uid,feature_snapshot_id,prediction_uid,match_date,match_start_time,match_start_dt_local,odds_scraped_at,tournament,event_title,surface,level,round,resolver_source,p1,p2,defaulted_features
skip_4bba545e7cb0dd37eee2,2026-07-08T03:57:47+00:00,run_20260708T034903Z,2026-07-08T03:49:03+00:00,feature_extraction,feature_error,feature_error:P1 rank is None (not ranked / not found on TA) for slug: DiegoDedura,match_0f703a70b986a7f810e1,feat_09373dfdec3aa7b3449d,,2026-07-08,7/8/26 9:00 AM,2026-07-08T09:00:00,2026-07-08 03:55:02,Braunschweig,Challenger - Braunschweig (4),Hard,C,,fallback_heuristic,diego dedura,dalibor svrcina,
skip_d98da1e947f491e90760,2026-07-08T03:57:59+00:00,run_20260708T034903Z,2026-07-08T03:49:03+00:00,feature_extraction,feature_error,feature_error:TA profile load failed for slug: ManasManojDhamne,match_a5899f01cb536e798246,feat_05a76d05abaf6717e750,,2026-07-08,7/8/26 11:20 AM,2026-07-08T11:20:00,2026-07-08 03:55:07,Liege,Challenger - Liege (4),Hard,C,,fallback_heuristic,sandro kopp,manas manoj dhamne,
skip_d6d1a5c1eda7e9adbd7b,2026-07-08T07:12:12+00:00,run_20260708T064329Z,2026-07-08T06:43:29+00:00,feature_extraction,scheduled_start_passed,scheduled_start_passed,match_6b9505a0619e76cc7f9b,feat_c408c6a8fa0ffe606a9a,,2026-07-07,7/8/26 12:01 AM,2026-07-08T00:01:00,2026-07-08 06:46:38,ITF Men Wuning,ITF Men's - ITF Men Wuning (2),Hard,15,,fallback_heuristic,jangjun kim,hoyoung roh,
skip_7eaac7705661b76d52e8,2026-07-08T07:28:14+00:00,run_20260708T071952Z,2026-07-08T07:19:52+00:00,feature_extraction,inside_pre_match_buffer_5m,inside_pre_match_buffer_5m,match_f86a038ab802da813718,feat_cd3dd9b0198b447a8fd9,,2026-07-08,7/8/26 12:30 AM,2026-07-08T00:30:00,2026-07-08 07:21:35,ITF Men Bastia-Lucciana,ITF Men's - ITF Men Bastia-Lucciana (11),Hard,15,,fallback_heuristic,benjamin pietri,pablo pradat,
skip_35f8e1937b55d99bf8e4,2026-07-08T07:28:14+00:00,run_20260708T071952Z,2026-07-08T07:19:52+00:00,feature_extraction,inside_pre_match_buffer_5m,inside_pre_match_buffer_5m,match_43408dd13b2ee064e8ba,feat_1472bc10ff95442e4c42,,2026-07-08,7/8/26 12:30 AM,2026-07-08T00:30:00,2026-07-08 07:21:36,ITF Men Bastia-Lucciana,ITF Men's - ITF Men Bastia-Lucciana (11),Hard,15,,fallback_heuristic,valentin lapalu,axel garcian,
skip_2ed32e0c9841291b7740,2026-07-08T07:28:14+00:00,run_20260708T071952Z,2026-07-08T07:19:52+00:00,feature_extraction,inside_pre_match_buffer_5m,inside_pre_match_buffer_5m,match_8cfc53594d697787f75c,feat_00e8f38649a02be7d75e,,2026-07-08,7/8/26 12:30 AM,2026-07-08T00:30:00,2026-07-08 07:21:36,ITF Men Bastia-Lucciana,ITF Men's - ITF Men Bastia-Lucciana (11),Hard,15,,fallback_heuristic,yanis ghazouani durand,tanguy genier,
skip_eff67f9a7a103f5fae39,2026-07-08T07:32:05+00:00,run_20260708T071952Z,2026-07-08T07:19:52+00:00,feature_extraction,scheduled_start_passed,scheduled_start_passed,match_d21063bf31ff70dca22b,feat_5da636925bdcfd7bc676,,2026-07-08,7/8/26 12:30 AM,2026-07-08T00:30:00,2026-07-08 07:21:49,ITF Men Hillcrest,ITF Men's - ITF Men Hillcrest (8),Hard,15,,resolved,filip peliwo,chirag duhan,
skip_974eeee9ba40f1dfb1ee,2026-07-08T07:32:05+00:00,run_20260708T071952Z,2026-07-08T07:19:52+00:00,feature_extraction,scheduled_start_passed,scheduled_start_passed,match_bcde0ef7d3cabc175fac,feat_4eee816a4bfcc9d6d756,,2026-07-08,7/8/26 12:30 AM,2026-07-08T00:30:00,2026-07-08 07:21:49,ITF Men Hillcrest,ITF Men's - ITF Men Hillcrest (8),Hard,15,,resolved,james hart,james beaven,
skip_e1a3da23c3bff5a70ffa,2026-07-08T07:32:05+00:00,run_20260708T071952Z,2026-07-08T07:19:52+00:00,feature_extraction,scheduled_start_passed,scheduled_start_passed,match_33f8c301f238b25d61ce,feat_1ff846c33f832cc01d20,,2026-07-08,7/8/26 12:30 AM,2026-07-08T00:30:00,2026-07-08 07:21:50,ITF Men Hillcrest,ITF Men's - ITF Men Hillcrest (8),Hard,15,,resolved,ofek shimanov,stefan vujic,
skip_42ba41da6bdf775e4455,2026-07-08T09:49:58+00:00,run_20260708T094211Z,2026-07-08T09:42:11+00:00,feature_extraction,feature_error,feature_error:TA profile load failed for slug: ManasManojDhamne,match_dfcc6fdebba7d42a08f1,feat_5fa8261f5358e7c81eb5,,2026-07-08,7/8/26 12:00 PM,2026-07-08T12:00:00,2026-07-08 09:47:30,Liege,Challenger - Liege (3),Hard,C,,fallback_heuristic,sandro kopp,manas manoj dhamne,
