P2_WinStreak_Current,P1_WinStreak_Current,P2_Surface_Matches_30d,Height_Diff,P1_Surface_Matches_30d,Player2_Height,P1_Matches_30d,P2_Matches_30d,P2_Surface_Experience,P2_Form_Trend_30d,Player1_Height,P1_Form_Trend_30d,Round_R16,Surface_Transition_Flag,P1_Surface_Matches_90d,P1_Surface_Experience,Rank_Diff,Round_R32,Rank_Points_Diff,P2_Level_WinRate_Career,P2_Surface_Matches_90d,P1_Level_WinRate_Career,P2_Level_Matches_Career,P2_WinRate_Last10_120d,Round_QF,Level_25,P1_Round_WinRate_Career,P1_Surface_WinRate_90d,Round_Q1,Player1_Rank,P1_Level_Matches_Career,P2_Round_WinRate_Career,draw_size,P1_WinRate_Last10_120d,Age_Diff,Level_15,Player1_Rank_Points,Handedness_Matchup_RL,Player2_Rank,Avg_Age,P1_Country_RUS,Player2_Age,P2_vs_Lefty_WinRate,Round_F,Surface_Clay,P2_Sets_14d,Rank_Momentum_Diff_30d,H2H_P2_Wins,Player2_Rank_Points,Player1_Age,P2_Rank_Volatility_90d,P1_Days_Since_Last,Grass_Season,P1_Semifinals_WinRate,Level_A,Level_D,P1_Country_USA,P1_Country_GBR,P1_Country_FRA,P2_Matches_14d,P2_Country_USA,P2_Country_ITA,Round_Q2,P2_Surface_WinRate_90d,P1_Hand_L,P2_Hand_L,P1_Country_ITA,P2_Rust_Flag,P1_Rank_Change_90d,P1_Country_AUS,P1_Hand_U,P1_Hand_R,Round_RR,Avg_Height,P1_Sets_14d,P2_Country_Other,Round_SF,P1_vs_Lefty_WinRate,Indoor_Season,Avg_Rank,P1_Rust_Flag,Avg_Rank_Points,Level_F,Round_R64,P2_Country_CZE,P2_Hand_R,Surface_Hard,P1_Matches_14d,Surface_Carpet,Round_R128,P1_Country_SRB,P2_Hand_U,P1_Rank_Volatility_90d,Level_M,P2_Country_ESP,Handedness_Matchup_LR,P1_Country_CZE,P2_Country_SUI,Surface_Grass,H2H_Total_Matches,Level_O,P1_Hand_A,P1_Finals_WinRate,Rank_Momentum_Diff_90d,P2_Finals_WinRate,Round_Q4,Level_G,Round_ER,Level_S,Round_BR,Round_Q3,Rank_Ratio,P1_Country_SUI,Clay_Season,P1_Country_GER,P2_Rank_Change_30d,P1_Country_ESP,P2_Hand_A,H2H_Recent_P1_Advantage,P2_Country_AUS,P2_Country_SRB,P2_Country_GBR,P2_Country_ARG,Handedness_Matchup_RR,P1_Rank_Change_30d,P2_Country_GER,Handedness_Matchup_LL,P2_Country_RUS,P1_Country_ARG,Level_C,P2_Semifinals_WinRate,P2_Days_Since_Last,P1_Peak_Age,P2_Peak_Age,H2H_P1_WinRate,P1_Country_Other,H2H_P1_Wins,P1_BigMatch_WinRate,P2_Rank_Change_90d,P2_BigMatch_WinRate,P2_Country_FRA,P1_Score_Matches_Last10,P1_Stat_Matches_Last10,P1_Set_WinRate_Last10,P1_Game_WinRate_Last10,P1_Game_WinRate_90d,P1_Straight_Set_WinRate_Last10,P1_Deciding_Set_WinRate_Career,P1_Tiebreak_WinRate_Career,P1_Service_Points_Won_Last10,P1_Return_Points_Won_Last10,P1_First_Serve_In_Last10,P1_First_Serve_Won_Last10,P1_Second_Serve_Won_Last10,P1_Ace_Rate_Last10,P1_Double_Fault_Rate_Last10,P1_BP_Save_Rate_Last10,P1_BP_Convert_Rate_Last10,P1_Avg_Minutes_Last10,P1_Avg_Service_Points_Last10,P2_Score_Matches_Last10,P2_Stat_Matches_Last10,P2_Set_WinRate_Last10,P2_Game_WinRate_Last10,P2_Game_WinRate_90d,P2_Straight_Set_WinRate_Last10,P2_Deciding_Set_WinRate_Career,P2_Tiebreak_WinRate_Career,P2_Service_Points_Won_Last10,P2_Return_Points_Won_Last10,P2_First_Serve_In_Last10,P2_First_Serve_Won_Last10,P2_Second_Serve_Won_Last10,P2_Ace_Rate_Last10,P2_Double_Fault_Rate_Last10,P2_BP_Save_Rate_Last10,P2_BP_Convert_Rate_Last10,P2_Avg_Minutes_Last10,P2_Avg_Service_Points_Last10,Score_Matches_Last10_Diff,Stat_Matches_Last10_Diff,Set_WinRate_Last10_Diff,Game_WinRate_Last10_Diff,Game_WinRate_90d_Diff,Straight_Set_WinRate_Last10_Diff,Deciding_Set_WinRate_Career_Diff,Tiebreak_WinRate_Career_Diff,Service_Points_Won_Last10_Diff,Return_Points_Won_Last10_Diff,First_Serve_In_Last10_Diff,First_Serve_Won_Last10_Diff,Second_Serve_Won_Last10_Diff,Ace_Rate_Last10_Diff,Double_Fault_Rate_Last10_Diff,BP_Save_Rate_Last10_Diff,BP_Convert_Rate_Last10_Diff,Avg_Minutes_Last10_Diff,Avg_Service_Points_Last10_Diff,run_id,run_started_at,_has_defaulted_features,match_id,match_uid,feature_snapshot_id,feature_schema_sha256,feature_vector_sha256,feature_count,player1_raw,player2_raw,event,timestamp,match_time,match_start_dt_local,status,status_detail,meta_level_input,meta_surface_input,meta_round_input,meta_match_date,meta_identity_event_key,meta_defaulted_features,meta_draw_input,meta_resolver_source,performance_v1_features_available,performance_v1_status,performance_v1_error
1.0,1.0,0.0,0.0,0.0,191.0,7.0,8.0,305.0,0.6933773192944362,191.0,0.6605657283434512,1.0,0.0,10.0,165.0,-41.0,0.0,348.0,0.4894067796610169,6.0,0.5303030303030303,233.0,0.5,0.0,0.0,0.7253521126760564,0.6538461538461539,0.0,42.0,30.0,0.425,32.0,0.5769230769230769,-6.677618069815196,0.0,1091.0,0.0,83.0,27.83983572895277,0.0,31.17864476386037,0.5594059405940595,0.0,1.0,6.0,0.0,0.0,743.0,24.501026694045173,2.954787510256741,16.0,1.0,0.6111111111111112,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,191.0,3.0,0.0,0.0,0.6707317073170732,0.0,62.5,0.0,917.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.7386127875258306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5178571428571429,10.0,0.575,0.0,0.0,0.0,0.0,0.0,0.0,1.9761904761904763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578125,16.0,1.0,0.0,0.5,1.0,0.0,0.40476190476190477,-4.0,0.5,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,run_20260714T203604Z,2026-07-14T20:36:04+00:00,False,0,match_ea5fdd41a63f6eff6d63,feat_f2a9f6991b1983837d17,17a33325776292ad31e4bbaff81cb223355f026aa019b8b516a0281945930b4d,4294d4b9db592be00d48e15ec65ea7b6e2a02ecf2c8a03ffedb3642a0ea39942,141,Raphael Collignon,Lorenzo Sonego,ATP - Gstaad (8),2026-07-14 20:39:27,7/15/26 4:30 AM,2026-07-15T04:30:00,ok,,A,Clay,R16,2026-07-15,atp - gstaad,,32,store_surface,True,ok,
1.0,-1.0,1.0,23.0,0.0,173.0,3.0,10.0,287.0,0.7030403652104673,196.0,0.621370121367626,0.0,1.0,8.0,167.0,-150.0,0.0,1364.0,0.625,12.0,0.5132978723404256,17.0,0.6538461538461539,0.0,0.0,0.5,0.5,0.0,28.0,185.0,0.5,32.0,0.5,4.506502395619439,0.0,1683.0,0.0,178.0,28.725530458590008,0.0,26.472279260780287,0.5634920634920635,0.0,1.0,20.0,0.0,0.0,319.0,30.978781656399725,12.133868683596722,16.0,1.0,0.5540540540540541,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.5666666666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,184.5,4.0,0.0,0.0,0.5705128205128205,0.0,103.0,0.0,1001.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6887372317211945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5681818181818182,-24.0,0.6136363636363636,0.0,0.0,0.0,0.0,0.0,0.0,6.357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5394736842105263,9.0,0.0,1.0,0.5,0.0,0.0,0.4675925925925926,25.0,0.425,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260714T203604Z,2026-07-14T20:36:04+00:00,True,1,match_d15a6dbb5a84d6e7476d,feat_88cdd419299f17f56030,,,141,Arthur Rinderknech,Clement Tabur,ATP - Gstaad (8),2026-07-14 20:39:27,7/15/26 5:40 AM,2026-07-15T05:40:00,skip,feature_schema_invalid:one_hot_cardinality:round:0,A,Clay,,2026-07-15,atp - gstaad,"round_code=None,structural_validation",32,store_surface,False,not_attempted,
-1.0,1.0,0.0,0.0,0.0,193.0,6.0,0.0,202.0,0.5,193.0,0.6436717411015412,0.0,0.0,7.0,374.0,30.0,0.0,-1164.0,0.45652173913043476,3.0,0.551948051948052,20.0,0.5769230769230769,0.0,0.0,0.5,0.45,0.0,51.0,228.0,0.5,32.0,0.5,7.008898015058179,0.0,974.0,0.0,21.0,31.16495550992471,0.0,27.66050650239562,0.6372549019607843,0.0,1.0,0.0,0.0,0.0,2138.0,34.6694045174538,1.1547005383792515,16.0,1.0,0.5375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,1.0,0.0,193.0,2.0,1.0,0.0,0.6043478260869565,0.0,36.0,0.0,1556.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.903200204700225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5434782608695652,-6.0,0.5952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,2.4285714285714284,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5857142857142857,51.0,0.0,1.0,0.5,0.0,0.0,0.47950819672131145,4.0,0.6132075471698113,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260714T203604Z,2026-07-14T20:36:04+00:00,True,2,match_d8460902bf7f57231b46,feat_6eeba687a0a8c5f4def7,,,141,Yannick Hanfmann,Valentin Vacherot,ATP - Gstaad (8),2026-07-14 20:39:28,7/15/26 9:00 AM,2026-07-15T09:00:00,skip,feature_schema_invalid:one_hot_cardinality:round:0,A,Clay,,2026-07-15,atp - gstaad,"round_code=None,structural_validation",32,store_surface,False,not_attempted,
1.0,1.0,0.0,5.0,2.0,193.0,11.0,4.0,260.0,0.666888264554618,198.0,0.7228312922142214,1.0,0.0,3.0,143.0,101.0,0.0,-430.0,0.6695804195804196,9.0,0.46875,283.0,0.5,0.0,0.0,0.7280701754385965,0.5833333333333334,0.0,186.0,13.0,0.6944444444444444,32.0,0.6538461538461539,-4.503764544832308,0.0,310.0,0.0,85.0,25.67145790554415,0.0,27.923340177960302,0.5197368421052632,0.0,1.0,2.0,0.0,0.0,740.0,23.419575633127995,1.7837651700316894,9.0,1.0,0.42,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5416666666666666,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,1.0,0.0,195.5,23.0,1.0,0.0,0.55,0.0,135.5,0.0,525.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5416666666666666,0.0,0.45555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,2.1882352941176473,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5933333333333334,16.0,0.0,1.0,0.5,0.0,0.0,0.5740740740740741,-12.0,0.6607717041800643,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,run_20260714T203604Z,2026-07-14T20:36:04+00:00,False,3,match_8e7164159f51147b5e86,feat_8b0db8eedeb801d71e73,17a33325776292ad31e4bbaff81cb223355f026aa019b8b516a0281945930b4d,cebf3810063f14cae0f1b96612c91795157fbf5c97d7b9a80ab25bade31cb2b7,141,Jerome Kym,Stefanos Tsitsipas,ATP - Gstaad (8),2026-07-14 20:39:28,7/15/26 11:30 AM,2026-07-15T11:30:00,ok,,A,Clay,R16,2026-07-15,atp - gstaad,,32,store_surface,True,ok,
1.0,1.0,4.0,2.0,0.0,183.0,3.0,5.0,85.0,0.706808473091689,185.0,0.5678204256327536,1.0,0.0,10.0,289.0,-260.0,0.0,518.0,0.5196078431372549,13.0,0.47435897435897434,48.0,0.5,0.0,0.0,0.5190476190476191,0.4230769230769231,0.0,100.0,114.0,0.5725806451612904,32.0,0.4230769230769231,1.7111567419575628,0.0,658.0,1.0,360.0,24.770704996577685,0.0,23.915126625598905,0.5131578947368421,0.0,1.0,2.0,0.0,0.0,140.0,25.626283367556468,10.893933072025813,17.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.53125,0.0,1.0,0.0,0.0,-14.0,0.0,0.0,1.0,0.0,184.0,3.0,0.0,0.0,0.4596774193548387,0.0,230.0,0.0,399.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.5045413298101655,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,24.0,0.6538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5227272727272727,17.0,1.0,0.0,0.5,1.0,0.0,0.42207792207792205,-38.0,0.5694444444444444,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,run_20260714T203604Z,2026-07-14T20:36:04+00:00,False,4,match_66e762af1697cf927489,feat_155c266a25f298aa7069,17a33325776292ad31e4bbaff81cb223355f026aa019b8b516a0281945930b4d,42b193505e6b757ce390ec635870ac30e5d12a4fedc9705e035f8df9df132f69,141,Alexander Shevchenko,Dominic Stephan Stricker,ATP - Gstaad (8),2026-07-14 20:39:28,7/16/26 4:00 AM,2026-07-16T04:00:00,ok,,A,Clay,R16,2026-07-16,atp - gstaad,,32,store_surface,True,ok,
-2.0,1.0,0.0,5.0,0.0,183.0,9.0,1.0,367.0,0.5,188.0,0.9182951367256128,0.0,1.0,17.0,151.0,79.0,0.0,-1735.0,0.6632231404958677,18.0,0.5,239.0,0.5769230769230769,0.0,0.0,0.5,0.675,0.0,92.0,26.0,0.5,32.0,0.7307692307692307,-4.621492128678987,0.0,700.0,0.0,13.0,25.253935660506503,0.0,27.564681724845997,0.6111111111111112,0.0,1.0,0.0,0.0,1.0,2435.0,22.94318959616701,4.349497517526681,10.0,1.0,0.5869565217391305,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7380952380952381,0.0,0.0,0.0,0.0,27.0,0.0,0.0,1.0,0.0,185.5,11.0,1.0,0.0,0.4189189189189189,0.0,52.5,0.0,1567.5,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,9.632197089928173,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6333333333333333,31.0,0.47435897435897434,0.0,0.0,0.0,0.0,0.0,0.0,7.076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5952380952380952,17.0,0.0,1.0,0.375,1.0,0.0,0.6555555555555556,-4.0,0.6302681992337165,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260714T203604Z,2026-07-14T20:36:04+00:00,True,5,match_8dff6d34f23f820e4cf1,feat_c2e8f598cf9bb9e6ce10,,,141,Jaime Faria,Casper Ruud,ATP - Gstaad (8),2026-07-14 20:39:28,7/16/26 4:00 AM,2026-07-16T04:00:00,skip,feature_schema_invalid:one_hot_cardinality:round:0,A,Clay,,2026-07-16,atp - gstaad,"round_code=None,structural_validation",32,store_surface,False,not_attempted,
1.0,-1.0,0.0,5.0,0.0,191.0,4.0,6.0,217.0,0.5952042804654971,196.0,0.683779582688029,0.0,1.0,7.0,152.0,-79.0,0.0,2104.0,0.4748427672955975,8.0,0.5670289855072463,156.0,0.5,0.0,0.0,0.5,0.45,0.0,11.0,273.0,0.5,32.0,0.5,-0.6406570841889128,0.0,2810.0,0.0,90.0,29.399041752224505,0.0,29.71937029431896,0.48947368421052634,0.0,1.0,3.0,0.0,0.0,706.0,29.078713210130047,1.3847680013570567,10.0,1.0,0.61,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5909090909090909,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,193.5,8.0,0.0,0.0,0.6325301204819277,0.0,50.5,0.0,1758.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.4140393356054125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671875,1.0,0.421875,0.0,0.0,0.0,0.0,0.0,0.0,8.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5350877192982456,17.0,0.0,0.0,0.5,1.0,0.0,0.4828571428571429,0.0,0.458955223880597,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260714T203604Z,2026-07-14T20:36:04+00:00,True,6,match_611baa6fd5ae4b704528,feat_0b001b39747e7e8e6eca,,,141,Alexander Bublik,Quentin Halys,ATP - Gstaad (8),2026-07-14 20:39:28,7/16/26 4:30 AM,2026-07-16T04:30:00,skip,feature_schema_invalid:one_hot_cardinality:round:0,A,Clay,,2026-07-16,atp - gstaad,"round_code=None,structural_validation",32,store_surface,False,not_attempted,
1.0,1.0,0.0,0.0,0.0,183.0,5.0,5.0,204.0,0.6812221111648095,183.0,0.6812221111648095,1.0,0.0,14.0,436.0,-14.0,0.0,124.0,0.5395833333333333,10.0,0.526595744680851,237.0,0.5769230769230769,0.0,0.0,0.6553398058252428,0.6764705882352942,0.0,45.0,91.0,0.6125,32.0,0.5769230769230769,-2.2094455852156045,0.0,1054.0,0.0,59.0,25.770020533880903,0.0,26.874743326488705,0.5099009900990099,0.0,1.0,3.0,0.0,0.0,930.0,24.6652977412731,11.108555261599056,17.0,1.0,0.6309523809523809,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6538461538461539,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,183.0,3.0,0.0,0.0,0.6214285714285714,0.0,52.0,0.0,992.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.400759544132302,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.625,3.0,0.5588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,1.3111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.40789473684210525,17.0,1.0,1.0,0.625,0.0,1.0,0.49166666666666664,10.0,0.4349112426035503,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,run_20260714T203604Z,2026-07-14T20:36:04+00:00,False,7,match_0d31357d325fa5c87546,feat_db498e2006dd959512bf,17a33325776292ad31e4bbaff81cb223355f026aa019b8b516a0281945930b4d,919f46edd8a8f7d65cb8d54a7d13da7833d6bfd43c7388a57f7dd08e530e4128,141,Juan Manuel Cerundolo,Miomir Kecmanovic,ATP - Gstaad (8),2026-07-14 20:39:29,7/16/26 4:30 AM,2026-07-16T04:30:00,ok,,A,Clay,R16,2026-07-16,atp - gstaad,,32,store_surface,True,ok,
1.0,1.0,1.0,8.0,0.0,183.0,4.0,5.0,165.0,0.5453701849615801,191.0,0.6899744811276125,1.0,0.0,5.0,266.0,-16.0,0.0,139.0,0.5,14.0,0.514367816091954,10.0,0.5,0.0,0.0,0.5542635658914729,0.4375,0.0,55.0,171.0,0.44047619047619047,32.0,0.4230769230769231,8.566735112936342,0.0,969.0,0.0,71.0,26.49555099247091,0.0,22.21218343600274,0.6212121212121212,0.0,1.0,6.0,0.0,0.0,830.0,30.77891854893908,9.970432478559987,16.0,1.0,0.5104166666666666,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.6764705882352942,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,1.0,0.0,187.0,2.0,1.0,0.0,0.5674157303370787,0.0,63.0,0.0,899.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5163977794943222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28846153846153844,-36.0,0.4642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,1.290909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7352941176470589,9.0,0.0,0.0,0.5,1.0,0.0,0.531496062992126,30.0,0.5588235294117647,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,run_20260714T203604Z,2026-07-14T20:36:04+00:00,False,8,match_1cc94966027f9a5d8b39,feat_afc97b6d8e296c5d5479,17a33325776292ad31e4bbaff81cb223355f026aa019b8b516a0281945930b4d,57d43805feafd8e6e66d62f3e2c4009d9028a375f7407107e6393d276459e610,141,Botic van de Zandschulp,Adolfo Daniel Vallejo,ATP - Bastad (8),2026-07-14 20:39:31,7/15/26 5:00 AM,2026-07-15T05:00:00,ok,,A,Clay,R16,2026-07-15,atp - bastad,,32,store_surface,True,ok,
1.0,1.0,0.0,-6.0,0.0,191.0,7.0,8.0,266.0,0.7524267610088542,185.0,0.7387322321160078,1.0,0.0,9.0,207.0,-94.0,0.0,563.0,0.6134564643799473,3.0,0.5049019607843137,376.0,0.5769230769230769,0.0,0.0,0.5909090909090909,0.4583333333333333,0.0,52.0,99.0,0.566350710900474,32.0,0.5769230769230769,-5.765913757700204,0.0,970.0,0.0,146.0,32.28199863107461,0.0,35.16495550992471,0.6438848920863309,0.0,1.0,13.0,0.0,1.0,407.0,29.399041752224505,13.914021704740868,16.0,1.0,0.6630434782608695,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,188.0,2.0,1.0,0.0,0.6388888888888888,0.0,99.0,0.0,688.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9235481451827988,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.578125,78.0,0.5857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,2.8076923076923075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4589041095890411,9.0,0.0,0.0,0.5,1.0,1.0,0.5153061224489796,-77.0,0.6033333333333334,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,run_20260714T203604Z,2026-07-14T20:36:04+00:00,False,9,match_1f8dcbbe7b5e461e1090,feat_54c2ced1cda64d584ac4,17a33325776292ad31e4bbaff81cb223355f026aa019b8b516a0281945930b4d,ba8b15700df2dd2139297dbe042871a62c867cc70a4bdf0e82b0d2d02f889fdc,141,Nuno Borges,Grigor Dimitrov,ATP - Bastad (8),2026-07-14 20:39:32,7/15/26 6:10 AM,2026-07-15T06:10:00,ok,,A,Clay,R16,2026-07-15,atp - bastad,,32,store_surface,True,ok,
